,filename,electrode 0,electrode 1,electrode 2,electrode 3,electrode 4,electrode 5,electrode 6,electrode 7,electrode 8,electrode 9,electrode 10,electrode 11,electrode 12,electrode 13,test-type
0,A026SB1_1.csv,0.0042114749,0.0032506298,0.0038890396,0.0031639676,0.0018600727,0.0016269447,0.0033130758,0.0043185344,0.0014158669,0.0026905912,0.0066742704,0.0029641136,0.00371065,0.0045383579,1
1,A006SM1_3.csv,0.0034397782,0.008617902,0.0030518876,0.0030711083,0.0035302387,0.0024332403,0.0026683531,0.0024728739,0.0027534898,0.0038266816,0.0039708723,0.0032216451,0.0105037329,0.0038124192,4
2,A019SB2_1.csv,0.0098662578,0.014387361,0.0063324152,0.0677737692,0.0232905378,0.0080822466,0.0088513022,0.0115395609,0.0036615657,0.0077048726,0.01145055,0.0093430183,0.0078226192,0.0078268728,2
3,A004SB3_1.csv,0.0142892138,0.0145520307,0.0141333537,0.0199584029,0.0142420914,0.0137787455,0.0139662892,0.0140190695,0.0139487671,0.0143764433,0.0143170513,0.0155496904,0.0149455941,0.0206491805,3
4,A016SB2_1.csv,0.0053192857,0.0063209834,0.0043401263,0.0125855105,0.0045263812,0.0039580288,0.0055440708,0.0061990014,0.0035832091,0.0514700048,0.0068551437,0.0057898633,0.0070388389,0.0175647314,2
5,A004SM1_1.csv,0.0054586309,0.0121964969,0.0026411807,0.0083166972,0.0060604376,0.0025348731,0.0021722302,0.0030321134,0.0055323066,0.0045483176,0.0047482673,0.0057246453,0.0100282062,0.0057764061,4
6,A012SB3_1.csv,0.0063494057,0.0047287295,0.0034478976,0.0048004739,0.0027798753,0.0042389979,0.0025120266,0.0033986994,0.0021597311,0.0032619134,0.0031772056,0.0028186698,0.0051133485,0.0055656456,3
7,A018SB3_1.csv,0.0071772372,0.02259979,0.0040343548,0.0040937814,0.0049161069,0.003453029,0.0052155397,0.0038745925,0.0034908906,0.0055680294,0.0044546056,0.0041460178,0.0055165318,0.0074360947,3
8,A017SB1_1.csv,0.004276463,0.004066003,0.0051317315,0.0072142876,0.0040680801,0.0032138274,0.0032635161,0.0037596121,0.0034224156,0.0164010765,0.0041554106,0.0038232214,0.0049523454,0.0046450734,1
9,A029SB3_1.csv,0.0049520575,0.01568259,0.0034177442,0.003563934,0.0023902456,0.0022784534,0.0022726257,0.0023786479,0.0016641259,0.0025396494,0.004007636,0.0059595896,0.0092360797,0.0084805351,3
10,A010SB2_1.csv,0.0244094281,0.0263743914,0.0236995897,0.0255581136,0.0261622102,0.0254167616,0.0239187951,0.0222795691,0.0254684245,0.0268612839,0.0218091699,0.0256657835,0.0199927646,0.025205378,2
11,A003SB3_1.csv,0.0033125198,0.0074763461,0.0020878334,0.0030933418,0.0022349654,0.0015555776,0.0021789584,0.0019584411,0.002596548,0.0027012741,0.0024876787,0.0076832625,0.0037299243,0.0041326287,3
12,A026SB3_1.csv,0.0057677105,0.0044778753,0.003837069,0.0034587758,0.0026374046,0.0020151632,0.0093729625,0.0028015291,0.0161001934,0.0027836526,0.0078153816,0.0030481487,0.0037410412,0.0233111509,3
13,A026SV1_1.csv,0.0297170695,0.0110224508,0.0030044853,0.0073705719,0.0028562533,0.0019530415,0.004233008,0.0062831555,0.0032434864,0.0030647137,0.0088016453,0.0027379378,0.0190185341,0.0059920989,5
14,A013SV1_1.csv,0.005104322,0.0044057483,0.0025326799,0.0022331808,0.0068524329,0.0025610547,0.0024367543,0.0031341709,0.0170456933,0.0054581485,0.0027651373,0.0028941862,0.0054307286,0.0051229218,5
15,A013SB1_1.csv,0.004995883,0.0034195162,0.0035569694,0.0021255888,0.0039483122,0.0018677046,0.0018485264,0.0025606128,0.0032259775,0.003283501,0.002718187,0.0025885068,0.0053505275,0.0046792174,1
16,A001SV1_1.csv,0.0068755581,0.0399107157,0.0037443432,0.0112148984,0.0046996123,0.004366019,0.0071696636,0.0062372986,0.0021420501,0.0120862038,0.0040595615,0.015362132,0.0052016278,0.0069426727,5
17,A024SB3_1.csv,0.0243531766,0.0055940798,0.0039396222,0.0084082032,0.0028183958,0.0026096058,0.0030360738,0.0046006532,0.0026097389,0.0040145091,0.0039525957,0.0037660947,0.0050211602,0.0090229853,3
18,A019SV1_1.csv,0.0075957068,0.0128148681,0.0093882124,0.0377046428,0.0172605225,0.0056898976,0.0064595324,0.0119773667,0.0021749112,0.0059580052,0.0108117463,0.0093656351,0.0064609599,0.0064423367,5
19,A004SB1_1.csv,0.0063874183,0.0088321244,0.0022150353,0.0099592191,0.0030018239,0.0065599656,0.0018086618,0.0030510383,0.0064970575,0.0038217262,0.0099443103,0.007314539,0.005914542,0.0063828189,1
20,A009SV1_2.csv,0.0517374978,0.0518340353,0.0523720164,0.0518381865,0.0531962912,0.0432240472,0.0486889891,0.0405961649,0.0444437143,0.055375566,0.0510919639,0.0514124451,0.0514912952,0.0514643114,5
21,A016SM1_1.csv,0.0056725996,0.0078164689,0.0037084381,0.0123604746,0.0051420692,0.0038497958,0.00584249,0.0060945497,0.0029986324,0.0060720646,0.0068264945,0.0103939731,0.0083609442,0.0099180726,4
22,A011SM1_1.csv,0.0088850934,0.007614861,0.0036593127,0.0038736304,0.0074546907,0.006975653,0.0029203799,0.0031491763,0.0040082779,0.0118652815,0.0048458297,0.0059508831,0.0053996609,0.0096959809,4
23,A025SM1_1.csv,0.0156794772,0.0117080773,0.0139315303,0.0134202623,0.0168207856,0.0061165587,0.0109762848,0.0091618128,0.0151122121,0.0146486437,0.0143929267,0.0101256946,0.0138126964,0.0139846229,4
24,A002SB3_1.csv,0.0250411961,0.0086411899,0.0022852818,0.0041057624,0.0043483779,0.001450768,0.0020161385,0.0247039363,0.0019453326,0.006679962,0.0038255851,0.0031675871,0.0036401298,0.0147173676,3
25,A019SB3_1.csv,0.0060213987,0.0133646322,0.0035731476,0.0191000923,0.014056104,0.0040146699,0.0043659776,0.0047547106,0.0020249642,0.0039966884,0.005340272,0.0047798684,0.005789905,0.0053319455,3
26,A028SV1_1.csv,0.0180363999,0.0053915388,0.0079139907,0.0035478553,0.0033699611,0.0021928956,0.0024081944,0.0029215798,0.0059310783,0.0036085036,0.1590440757,0.0041183988,0.005427624,0.022810405,5
27,A028SB2_1.csv,0.006172299,0.0043597512,0.0036636889,0.0028226044,0.0020388512,0.0018213037,0.0025882954,0.0104827712,0.0025241653,0.0030871131,0.0152811251,0.0291522241,0.0065204333,0.0077619421,2
28,A004SV1_1.csv,0.0047458482,0.0093074664,0.0029742787,0.0059525403,0.0039819564,0.002340652,0.0019890665,0.0037731648,0.0703256463,0.0050019322,0.0050623259,0.0058765184,0.0053150787,0.0584681811,5
29,A024SB2_1.csv,0.0069284075,0.0051144226,0.0050721736,0.0133364341,0.0038815796,0.0033692007,0.0040631581,0.0076837622,0.0040915214,0.0054801131,0.0050962612,0.0047533626,0.0069539777,0.0077814244,2
30,A017SV1_1.csv,0.0069664283,0.0058907826,0.0575329017,0.0416507822,0.0052567025,0.0034482038,0.0047348622,0.0054049052,0.0041071589,0.0059398241,0.0052351538,0.0057281235,0.0070515407,0.0073604345,5
31,A006SB3_1.csv,0.0044381026,0.0041646888,0.0078030835,0.0039288838,0.0037578747,0.0036097525,0.003013667,0.0033345392,0.0044430861,0.0043117279,0.004718308,0.0038380207,0.0087550732,0.0053787792,3
32,A006SB1_1.csv,0.0029989537,0.0027459136,0.0043143487,0.0031203238,0.0035175091,0.0022307403,0.0021972289,0.0025915502,0.0034783083,0.0030288807,0.002756353,0.0024885045,0.0028582713,0.0029050226,1
33,A002SB1_1.csv,0.0203224376,0.0042128979,0.0023083803,0.0149057048,0.0052489736,0.00194054,0.0018872353,0.0026830663,0.0021106765,0.0153387455,0.0711478826,0.007461912,0.0029765041,0.0057908263,1
34,A012SM1_1.csv,0.0096559268,0.0092880949,0.0056035308,0.0081924791,0.0064743166,0.0103836786,0.0061844762,0.0054974525,0.0321043336,0.0070207909,0.0055098137,0.0069992245,0.006375384,0.0131997465,4
35,A009SB1_1.csv,0.0474542379,0.0488153372,0.0492008321,0.0495577544,0.0461932668,0.0401525203,0.0459187446,0.0366905408,0.0396009314,0.052567031,0.0481865681,0.0484904812,0.0486360619,0.0473268739,1
36,A008SV1_1.csv,0.0061456269,0.0060965834,0.0030916883,0.0044201381,0.0035171934,0.0019490565,0.0034485729,0.0040917725,0.0061625995,0.0044886861,0.0050643308,0.005644603,0.0073198788,0.0069901235,5
37,A017SB3_1.csv,0.0081441643,0.0074551231,0.0067080856,0.0078045892,0.0070025186,0.0073330554,0.0076853467,0.0077384986,0.0081094618,0.0114114127,0.0072500373,0.0074214912,0.0079796476,0.0083424738,3
38,A027SM1_1.csv,0.034818917,0.0128025328,0.017106531,0.0125164694,0.010895138,0.0346982733,0.0126806985,0.0127717285,0.0413190543,0.0203141322,0.0300780348,0.088882994,0.0255190355,0.0419333233,4
39,A009SV1_1.csv,0.0555838594,0.0555985679,0.0604519698,0.0567901922,0.0564559998,0.0489040841,0.0541378694,0.0498050072,0.0527628476,0.0596418146,0.0590486607,0.0635141982,0.0565062827,0.0560376599,5
40,A021SB3_1.csv,0.0098801913,0.0093399049,0.0030011495,0.0318227246,0.0026993495,0.0104918354,0.0022459684,0.0055664546,0.0056160831,0.004951607,0.0109571707,0.0031996035,0.0060544548,0.0222492258,3
41,A021SV1_1.csv,0.0210399368,0.014643612,0.0034345236,0.0344005091,0.0042421756,0.0117995999,0.0025378129,0.009345747,0.0159160415,0.0057437849,0.0188390859,0.0043631059,0.0067991697,0.0237247007,5
42,A002SB2_1.csv,0.0085690747,0.0033994626,0.0021372129,0.0037523896,0.0029201612,0.0016630358,0.0018908822,0.0024246708,0.0020172672,0.0052567651,0.0052316592,0.0045429662,0.0028625769,0.0174141585,2
